experiment,model,n_seeds,P1_accuracy_mean,P1_f1_macro_mean,P2_f1_macro_mean,P3_accuracy_mean,P3_f1_macro_mean,leakage_rate_mean,mean_prob_mass_on_absent_mean,off_plant_rate_mean,P1_accuracy_std,P1_f1_macro_std,P2_f1_macro_std,P3_accuracy_std,P3_f1_macro_std,leakage_rate_std,mean_prob_mass_on_absent_std,off_plant_rate_std
ablation,wo_llrd,3,0.6576388888888889,0.6409939810575911,0.18314113744502603,0.7046527777777779,0.6531578106779453,0.10583333333333333,0.19276419263860992,0.10583333333333333,0.04912265567867775,0.05213260087035096,0.014895028820100268,0.0399393710075845,0.044220075322846664,0.021901769334919042,0.016572314540681903,0.021901769334919042
benchmark,ghostnet_100,3,0.5926388888888888,0.6407619133667214,0.18307483239049183,0.7345138888888889,0.6943324647656658,0.2754166666666667,0.4690081225212645,0.2754166666666667,0.017926757494294936,0.01844448327699717,0.005269852364856339,0.01073944356790185,0.008961266301468058,0.022998905469125683,0.014969545974186649,0.022998905469125683
ablation,wo_ema,3,0.6697222222222222,0.6400825797602636,0.18288073707436103,0.710486111111111,0.6540761085383103,0.07673611111111112,0.17711211990869036,0.07673611111111112,0.014803887752634155,0.03563212342269974,0.010180606692199928,0.049963673146189484,0.05514249653999096,0.04177607164438797,0.04838979283978408,0.04177607164438797
recipe_matched,legacy_seresnext50_32x4d,3,0.6000694444444444,0.6400483634054667,0.1828709609729905,0.7408333333333333,0.6957085293748788,0.24673611111111113,0.43209693131082333,0.24673611111111113,0.04687561727988627,0.03557479178900195,0.010164226225429123,0.008662759535954922,0.005559151469055328,0.04394417886912305,0.030441409763190982,0.04394417886912305
benchmark,convnext_small,3,0.6422916666666666,0.6384879149838151,0.18242511856680432,0.706875,0.6574901798575089,0.14812499999999998,0.2374975333026426,0.14812499999999998,0.03805207050141223,0.03441029350235288,0.009831512429243692,0.020066080071714162,0.015899867453854986,0.04598035132894628,0.03990923709879563,0.04598035132894628
ablation,full,3,0.6531250000000001,0.6344801272612689,0.18128003636036252,0.7022222222222222,0.6422260413625495,0.1213888888888889,0.2246313295225587,0.1213888888888889,0.003991092512639176,0.023711239973378918,0.00677463999239402,0.027009782607075594,0.03524548388053674,0.04265613341118241,0.043183653791736956,0.04265613341118241
ablation,wo_beta_calib,3,0.6806944444444444,0.6340923159134477,0.18116923311812794,0.7011111111111111,0.6391776002432231,0.04006944444444444,0.046929278702438265,0.04006944444444444,0.03177225634335947,0.027292789405126944,0.0077979398300362605,0.022675179671794225,0.02421986987820749,0.016902412577082773,0.02222138226359868,0.016902412577082773
recipe_matched,efficientnet_b3,3,0.5914583333333333,0.6299408912209112,0.1799831117774032,0.7229166666666668,0.6754573218412463,0.25416666666666665,0.4964856518547296,0.25416666666666665,0.025729799249983375,0.011571595539789368,0.003306170154225568,0.01749999999999996,0.015252027841816793,0.062865597375141,0.027055828041615156,0.062865597375141
ablation,wo_tta,3,0.6575000000000001,0.6293825723461722,0.17982359209890633,0.6906249999999999,0.6376854362974584,0.07993055555555556,0.1711570790385061,0.07993055555555556,0.03246459075327734,0.03793747569311851,0.010839278769462451,0.030950649562381232,0.03763883026326174,0.02099141413989521,0.008079852520270074,0.02099141413989521
benchmark,mnasnet_100,3,0.6318055555555556,0.628803351475255,0.17965810042150143,0.680625,0.6443151372168004,0.09930555555555555,0.3716009522788297,0.09930555555555555,0.007934008783103958,0.003641164386255091,0.001040332681787177,0.007450647809269807,0.003811225197241799,0.004479570395241704,0.013458360404853296,0.004479570395241704
recipe_matched,vit_small_patch16_224,3,0.5983333333333333,0.6263910769885075,0.1789688791395736,0.71875,0.6669440953092489,0.23756944444444442,0.42257779695144565,0.23756944444444442,0.048028854174686844,0.029133065282572645,0.008323732937877894,0.019095201913337034,0.01662061630431234,0.06542108973015874,0.051504962590882324,0.06542108973015874
benchmark,resnext50_32x4d,3,0.6252777777777777,0.6212995563465255,0.1775141589561501,0.6920138888888889,0.6496057219290575,0.14006944444444444,0.32731352031097133,0.14006944444444444,0.03821672330034085,0.026536771886751777,0.00758193482478621,0.03287994611433361,0.03598978848297234,0.0386234118096112,0.0629563088222197,0.0386234118096112
benchmark,resnet101,3,0.6410416666666666,0.6205680275886046,0.17730515073960132,0.6753472222222222,0.6253949485941218,0.10465277777777778,0.26518276703865723,0.10465277777777778,0.010501735967607116,0.005212418492746124,0.0014892624264988884,0.0018201864475112409,0.0022242641588373774,0.027354677049482443,0.031072111180504836,0.027354677049482443
