model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,base,matched,rank31,rank26
Proposed_HMLA_CAFormerS18,proposed,proposed,3,0.9870006666666667,0.0033474770101276,3,0.9830356666666668,0.0038277519947527,3,1.0,0.0,3,0.9828083333333332,0.0044351588847901,3,0.9869626666666664,0.003408520255673,3,0.9840483333333332,0.0028469559767115,3,0.9830356666666668,0.0038277519947527,3,0.9830356666666668,0.0038277519947527,3,0.9993576666666668,0.0001647462695581,3,0.9818643333333332,0.0048965965050566,3,0.9862926666666668,0.0035296960681245,3,0.9863333333333334,0.0034695426691905,3,0.9998103333333334,9.504384952923302e-05,3,0.9949583333333334,0.0024812541855548,3,0.0793256666666666,0.0084172748757144,3,23.897,91.16,3.970553856,45.502,11.375,4,22.0,ema,0.0,7,2123.433333333333,True,Proposed_HMLA_CAFormerS18,False,11,8.0
resnext50_32x4d,standard,benchmark,3,0.9857626666666666,0.0014185254080676,3,0.9824896666666666,0.0020080150231841,3,0.9993806666666668,0.0005363584000771,3,0.9821446666666668,0.001777135991795,3,0.985703,0.0014218463348759,3,0.9830886666666666,0.0019112808096491,3,0.9824896666666666,0.0020080150231841,3,0.9824896666666666,0.0020080150231841,3,0.9992943333333332,7.147260547464596e-05,3,0.9814813333333332,0.0023977890510495,3,0.984987,0.0014958836853178,3,0.9850236666666669,0.0015106264704861,3,0.9997066666666666,0.0001503640027843,3,0.993796,0.0026058877566004,3,0.1078649999999999,0.0117369724801585,3,23.023,87.83,4.257376256,6.57,6.57,1,152.2,raw,,18,841.6,True,resnext50_32x4d,False,12,9.0
vit_small_patch16_224,standard,benchmark,3,0.985763,0.0028366143551776,3,0.98208,0.0041364134222778,3,0.9996903333333332,0.0005363584000771,3,0.981907,0.0042887782642612,3,0.9857233333333334,0.0028721880741576,3,0.9829756666666668,0.0033193722800152,3,0.98208,0.0041364134222778,3,0.98208,0.0041364134222778,3,0.9992946666666668,0.0001395504687678,3,0.980945,0.0050520977821098,3,0.9849866666666666,0.0029908944035744,3,0.9850236666666666,0.0029602339997597,3,0.999574,0.0005401360939614,3,0.9944596666666669,0.0048929128679482,3,0.0907343333333333,0.0040265222380279,3,21.674,82.68,4.250298624,4.101,4.101,1,243.8,raw,,20,642.0333333333334,True,vit_small_patch16_224,False,13,10.0
vgg16,standard,benchmark,3,0.9854533333333334,0.0035150681833121,3,0.981231,0.0053365652811522,3,0.9993806666666668,0.0005363584000771,3,0.9813936666666666,0.0050405049680893,3,0.9854046666666668,0.0035704977710864,3,0.9824723333333332,0.004019561211542,3,0.981231,0.0053365652811522,3,0.981231,0.0053365652811522,3,0.9992793333333332,0.0001742880757061,3,0.9801763333333334,0.006151011651211,3,0.9846603333333332,0.0037073586734133,3,0.9846876666666664,0.0036883016868653,3,0.999432,0.0004671156173796,3,0.994243,0.0031066021631358,3,0.0940803333333333,0.0054098830239972,3,134.347,512.49,15.466258432,18.391,18.391,1,54.4,raw,,25,6059.333333333335,True,vgg16,False,14,11.0
swin_small_patch4_window7_224 [matched],matched,recipe_matched,3,0.9857626666666666,0.0023364088540606,3,0.9816706666666668,0.0027200853540529,3,1.0,0.0,3,0.9813353333333332,0.0029628535794624,3,0.985735,0.0023875617269507,3,0.982134,0.0020583048850935,3,0.9816706666666668,0.0027200853540529,3,0.9816706666666668,0.0027200853540529,3,0.9992963333333332,0.0001156993229596,3,0.980504,0.0033443835007367,3,0.9849873333333332,0.0024632990750888,3,0.98502,0.0024316453277564,3,0.9998203333333334,3.178574103796655e-05,3,0.9947613333333334,0.0010545237471642,3,0.084145,0.0071062269172888,3,48.853,186.36,8.767782912,79.04,19.76,4,12.7,ema,,7,1483.0333333333335,True,swin_small_patch4_window7_224,True,15,
regnety_016,standard,benchmark,3,0.984834,0.0059694198210546,3,0.981224,0.0073119548685696,3,0.999381,0.0010721394498851,3,0.9811433333333331,0.0070116734331636,3,0.984826,0.0059800368727959,3,0.981522,0.0066679541090202,3,0.981224,0.0073119548685696,3,0.981224,0.0073119548685696,3,0.999248,0.0002978674201721,3,0.9804506666666668,0.0077236595169216,3,0.9840073333333332,0.0062952300461009,3,0.9840216666666668,0.0062930082101752,3,0.999645,0.0001143197270815,3,0.9910596666666668,0.0011419546108901,3,0.1336426666666667,0.0150040077757022,3,10.332,39.41,1.627317616,16.169,16.169,1,61.8,raw,,7,655.7333333333333,True,regnety_016,False,16,12.0
vit_base_patch16_224,standard,benchmark,3,0.984525,0.0028366143551776,3,0.9811153333333332,0.0033355800594998,3,0.9996903333333332,0.0005363584000771,3,0.9808546666666668,0.0035822278449776,3,0.9845036666666666,0.0028636742715143,3,0.981407,0.0027962405118301,3,0.9811153333333332,0.0033355800594998,3,0.9811153333333332,0.0033355800594998,3,0.9992326666666664,0.0001406567927024,3,0.9802543333333332,0.0038867665653256,3,0.9836816666666666,0.0029903488648204,3,0.983706,0.0029610020263417,3,0.9994073333333334,0.0007038851705593,3,0.9929326666666668,0.0036616324683579,3,0.090172,0.004701198889645,3,85.815,327.36,16.866660864,8.117,8.117,1,123.2,raw,,14,1354.4666666666665,True,vit_base_patch16_224,False,17,13.0
caformer_s18.sail_in22k_ft_in1k,standard,benchmark,3,0.985144,0.0049131601846469,3,0.9805316666666668,0.0059494887455422,3,0.9996903333333332,0.0005363584000771,3,0.9805676666666666,0.0061753882738928,3,0.9850393333333334,0.0050757605669823,3,0.9822216666666668,0.0041406350157111,3,0.9805316666666668,0.0059494887455422,3,0.9805316666666668,0.0059494887455422,3,0.9992646666666666,0.0002437895267096,3,0.979041,0.0072293532905785,3,0.9843336666666668,0.0051809480149228,3,0.984378,0.005121618982314,3,0.9993106666666668,0.0007861261561183,3,0.9921173333333332,0.0029342420372787,3,0.0903433333333333,0.0036720971301605,3,24.336,92.83,3.894573824,10.602,10.602,1,94.3,raw,,5,1332.9333333333332,True,caformer_s18.sail_in22k_ft_in1k,False,18,14.0
efficientnet_b0,standard,benchmark,3,0.984525,0.0056732287103553,3,0.98053,0.0077642152855262,3,1.0,0.0,3,0.980347,0.0078749591110049,3,0.9844376666666668,0.0057629479724645,3,0.9812183333333332,0.006740133109467,3,0.98053,0.0077642152855262,3,0.98053,0.0077642152855262,3,0.9992333333333332,0.0002804163571072,3,0.9792166666666668,0.0090300036175703,3,0.9836816666666668,0.0059823343548595,3,0.983713,0.0059492022154235,3,0.9995936666666668,0.0002997571239075,3,0.9923193333333332,0.0044096136263093,3,0.1048756666666666,0.0103050998216093,3,4.034,15.39,0.398099744,12.962,12.962,1,77.2,raw,,18,529.8,True,efficientnet_b0,False,19,15.0
convnext_tiny,standard,benchmark,3,0.9845246666666668,0.0026800599495781,3,0.9804796666666666,0.0033763248263952,3,1.0,0.0,3,0.9802983333333332,0.0034724645906522,3,0.984492,0.0027340433427434,3,0.9811703333333334,0.0023085242760979,3,0.9804796666666666,0.0033763248263952,3,0.9804796666666666,0.0033763248263952,3,0.9992336666666666,0.0001330801763349,3,0.9794263333333332,0.0040924748421136,3,0.9836813333333332,0.0028261295676832,3,0.983712,0.0027894682288923,3,0.999788,0.0001175925167686,3,0.995289,0.0016931072027488,3,0.0950823333333333,0.0054985811200102,3,27.836,106.19,4.469685504,5.582,5.582,1,179.2,raw,,10,606.3333333333334,True,convnext_tiny,False,20,16.0
