model,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,rank_int
densenet121,3,0.9863816666666666,0.0047646269878484,3,0.982248,0.0058268754062533,3,1.0,0.0,3,0.982316,0.0055476290431138,3,0.9863246666666666,0.0048080227051599,3,0.9830923333333332,0.0048583989475272,3,0.982248,0.0058268754062533,3,0.982248,0.0058268754062533,3,0.9993256666666668,0.0002381729063796,3,0.9812193333333332,0.0063006757045045,3,0.9856393333333332,0.0050248121689604,3,0.9856596666666668,0.0050144940256553,3,0.999796,7.202083032009865e-05,3,0.9950043333333332,0.0014361184955752,3,0.100227,0.0124255322220016,3,6.975,26.61,2.864544256,14.737,14.737,1,67.9,raw,,10,422.1333333333334,True,11
deit3_small_patch16_224,3,0.9854533333333334,0.0029848136178551,3,0.981438,0.0031627097558897,3,0.9996903333333332,0.0005363584000771,3,0.9813633333333334,0.0033869221032278,3,0.985439,0.0029578769413213,3,0.9819713333333334,0.0030489303588854,3,0.981438,0.0031627097558897,3,0.981438,0.0031627097558897,3,0.9992796666666668,0.0001475070619778,3,0.9805003333333334,0.0033290825062369,3,0.9846606666666666,0.00314668179728,3,0.9846823333333332,0.0031299463786674,3,0.999507,0.0005283218715896,3,0.9927596666666668,0.0047567094018169,3,0.0934436666666666,0.0061207275983606,3,21.683,82.71,4.250298624,2.814,2.814,1,355.3,raw,,23,283.9666666666667,True,12
caformer_s18.sail_in22k_ft_in1k,3,0.9854533333333334,0.0032610221301508,3,0.9811456666666666,0.004646085700171,3,0.9996903333333332,0.0005363584000771,3,0.9811803333333334,0.0043942094093628,3,0.9853716666666664,0.0033502660093391,3,0.9822413333333334,0.0029790765907128,3,0.9811456666666666,0.004646085700171,3,0.9811456666666666,0.004646085700171,3,0.9992796666666668,0.0001616457031081,3,0.9799323333333332,0.0054116295450938,3,0.9846603333333334,0.0034391316248921,3,0.98469,0.0034095882449351,3,0.999283,0.0006854458403112,3,0.9943823333333334,0.0031952646734399,3,0.0962463333333333,0.0031460969999879,3,24.336,92.83,3.894573824,8.744,8.744,1,114.4,raw,,7,577.7333333333333,True,13
inception_v3,3,0.9848343333333331,0.0035154203636739,3,0.981333,0.0046640201543303,3,0.9993806666666668,0.0005363584000771,3,0.981054,0.0047151342504747,3,0.9847003333333334,0.0036276163431836,3,0.982604,0.0030902681113456,3,0.981333,0.0046640201543303,3,0.981333,0.0046640201543303,3,0.9992476666666666,0.0001747006964306,3,0.9799336666666668,0.0057867065186799,3,0.9840076666666664,0.0037072266363595,3,0.9840613333333332,0.003665613500266,3,0.999358,0.0007142541564457,3,0.9939923333333331,0.0034225651686028,3,0.0965996666666666,0.0074067885978562,3,21.829,83.27,2.845264,7.44,7.44,1,134.4,raw,,17,309.53333333333336,True,14
convnext_tiny,3,0.9848343333333331,0.0061821325069374,3,0.9802073333333334,0.0085368250733708,3,1.0,0.0,3,0.9802566666666668,0.0082494935804164,3,0.984704,0.0064260472298295,3,0.982242,0.0050896120677317,3,0.9802073333333334,0.0085368250733708,3,0.9802073333333334,0.0085368250733708,3,0.9992486666666668,0.0003072626455222,3,0.9785906666666668,0.010439271542274,3,0.9840073333333336,0.0065199800868816,3,0.9840613333333332,0.0064431624481564,3,0.999735,8.007496487663819e-05,3,0.9923113333333332,0.0017870512956636,3,0.0911823333333333,0.00038689835013,3,27.836,106.19,4.469685504,4.03,4.03,1,248.1,raw,,8,407.7333333333333,True,15
mobilenetv3_large_100,3,0.9839056666666668,0.0029848136178551,3,0.9793153333333334,0.0034333360355976,3,1.0,0.0,3,0.979662,0.0030509696819208,3,0.9838023333333332,0.0030086183429164,3,0.9814203333333332,0.0027508235736472,3,0.9793153333333334,0.0034333360355976,3,0.9793153333333334,0.0034333360355976,3,0.9992016666666668,0.0001503606774836,3,0.978115,0.0034198264575852,3,0.983028,0.0031481853503248,3,0.9830673333333332,0.0031489633744033,3,0.9996766666666668,0.0001308905395104,3,0.9938373333333334,0.0023229555168649,3,0.1268703333333333,0.0070451802910453,3,4.229,16.13,0.224183296,4.403,4.403,1,227.1,raw,,29,276.5,True,16
vgg19,3,0.983906,0.0028366143551776,3,0.9801283333333334,0.0045979534940377,3,0.9996903333333332,0.0005363584000771,3,0.9796543333333334,0.0042667892300104,3,0.9837856666666666,0.0028803231300209,3,0.9810533333333332,0.0036779888979349,3,0.9801283333333334,0.0045979534940377,3,0.9801283333333334,0.0045979534940377,3,0.9992026666666666,0.000140532321312,3,0.9786346666666668,0.0053640298594744,3,0.9830286666666668,0.0029918763900491,3,0.9830843333333332,0.0029821308377288,3,0.999481,0.0005739651557368,3,0.9945523333333334,0.0025661352913152,3,0.0912983333333333,0.0081458743750031,3,139.656,532.75,19.628056576,6.71,6.71,1,149.0,raw,,23,813.5666666666666,True,17
efficientnet_b3,3,0.9839056666666668,0.0045803506779867,3,0.979384,0.0062625327144854,3,0.9990713333333332,0.0009285000448752,3,0.979562,0.0062085750378005,3,0.9838513333333332,0.004667791376372,3,0.980402,0.0052048977895824,3,0.979384,0.0062625327144854,3,0.979384,0.0062625327144854,3,0.9992023333333332,0.0002266767154635,3,0.9783303333333334,0.0072376853574422,3,0.9830283333333334,0.0048298666993337,3,0.983048,0.0048046967646252,3,0.998444,0.0006667975704814,3,0.9855613333333334,0.0051726856016322,3,0.1284196666666666,0.005598207689371,3,10.729,40.93,0.987252112,8.1,8.1,1,123.5,raw,,21,497.3333333333333,True,18
legacy_xception,3,0.9839056666666668,0.0032610221301508,3,0.9797483333333332,0.0040702634230886,3,0.9993806666666668,0.0005363584000771,3,0.9794243333333332,0.003925985014405,3,0.98384,0.0032522921148015,3,0.9807966666666666,0.0043430397572821,3,0.9797483333333332,0.0040702634230886,3,0.9797483333333332,0.0040702634230886,3,0.9992033333333332,0.0001622230974101,3,0.9783436666666666,0.0042729514779989,3,0.983029,0.0034391791171731,3,0.9830776666666666,0.0034570878399793,3,0.9992303333333332,0.0004357996481564,3,0.9924273333333332,0.0020667872007861,3,0.2573406666666667,0.1261379033492048,3,20.85,79.54,4.574196,4.059,4.059,1,246.3,raw,,19,455.1666666666667,True,19
resnext50_32x4d,3,0.9829773333333334,0.0043876376711543,3,0.9791833333333332,0.0048383660809547,3,0.9996903333333332,0.0005363584000771,3,0.9790993333333334,0.0045435460087175,3,0.982947,0.0044145983962303,3,0.97945,0.0043284573464457,3,0.9791833333333332,0.0048383660809547,3,0.9791833333333332,0.0048383660809547,3,0.9991556666666668,0.0002200325733461,3,0.9783013333333334,0.004995631324801,3,0.9820496666666668,0.0046275257247619,3,0.9820673333333332,0.0046270860520778,3,0.999535,0.0002618148200542,3,0.9936263333333332,0.003987469163935,3,0.1072396666666666,0.0035460197874988,3,23.023,87.83,4.257376256,4.361,4.361,1,229.3,raw,,21,468.5333333333333,True,20
efficientnet_b0,3,0.9829773333333334,0.0023369386670029,3,0.9788103333333334,0.0038576602148625,3,0.999381,0.0010721394498851,3,0.9786073333333332,0.0038052239531115,3,0.9829113333333334,0.0024184111175177,3,0.9795393333333332,0.0024013301175251,3,0.9788103333333334,0.0038576602148625,3,0.9788103333333334,0.0038576602148625,3,0.9991563333333334,0.0001151100922305,3,0.9775846666666668,0.0048625201627687,3,0.98205,0.0024642262477297,3,0.9820833333333332,0.0024301510926963,3,0.9994506666666668,0.0003589238545058,3,0.9916176666666666,0.0045070780260977,3,0.1062383333333333,0.0097037609375609,3,4.034,15.39,0.398099744,5.307,5.307,1,188.4,raw,,25,290.93333333333334,True,21
mnasnet_100,3,0.9814296666666666,0.0024567690842513,3,0.9775143333333332,0.0022652201511847,3,1.0,0.0,3,0.97723,0.0022792606257293,3,0.9813146666666668,0.0025632109420282,3,0.978255,0.0020940494263507,3,0.9775143333333332,0.0022652201511847,3,0.9775143333333332,0.0022652201511847,3,0.9990783333333332,0.0001234193393813,3,0.976226,0.0024899218863249,3,0.980418,0.0025909465451838,3,0.980466,0.0025709295984137,3,0.999694,0.0001415238495801,3,0.992092,0.003210056541558,3,0.1107916666666666,0.0029898007179966,3,3.129,11.94,0.324138752,3.508,3.508,1,285.1,raw,,24,261.43333333333334,True,22
ghostnet_100,3,0.9808106666666666,0.0051139003053768,3,0.975419,0.0066434267513084,3,1.0,0.0,3,0.975845,0.0065155484036264,3,0.980697,0.0052507806086333,3,0.9778376666666668,0.0041643113876526,3,0.975419,0.0066434267513084,3,0.975419,0.0066434267513084,3,0.9990476666666668,0.0002545905209024,3,0.9738626666666668,0.0080328800148722,3,0.979764,0.0053933943857277,3,0.9798053333333332,0.0053375337313532,3,0.999599,0.0001212600511297,3,0.9904036666666668,0.0050548891514387,3,0.1255116666666666,0.0023112425950845,3,3.928,14.99,0.147020816,7.03,7.03,1,142.2,raw,,13,268.23333333333335,True,23
mobilenetv2_100,3,0.975859,0.0018569999999999,3,0.9709303333333332,0.0022665748020599,3,0.9996903333333332,0.0005363584000771,3,0.9705893333333332,0.0026172360102469,3,0.9757926666666666,0.0019770021075692,3,0.972825,0.0012605760587921,3,0.9709303333333332,0.0022665748020599,3,0.9709303333333332,0.0022665748020599,3,0.9988023333333332,9.15004553722397e-05,3,0.968981,0.0031490219116417,3,0.9745433333333332,0.0019575000212856,3,0.9746293333333332,0.0019155809388624,3,0.999422,0.0001450068963877,3,0.9884246666666666,0.0048291673540408,3,0.0901843333333333,0.0056350362317675,3,2.251,8.59,0.312940096,3.409,3.409,1,293.4,raw,,24,261.7333333333333,True,24
resnet50,3,0.9761683333333332,0.0023364088540606,3,0.9706156666666668,0.0025701774906284,3,0.999381,0.0010721394498851,3,0.9704036666666666,0.0030843126192611,3,0.9761006666666666,0.0023167857763145,3,0.9721076666666666,0.0020939055215871,3,0.9706156666666668,0.0025701774906284,3,0.9706156666666668,0.0025701774906284,3,0.998818,0.0001146429238985,3,0.968662,0.0032843606683798,3,0.9748696666666667,0.0024627030542339,3,0.9749253333333332,0.0024114432054961,3,0.9994766666666668,0.0001544549556774,3,0.9890483333333332,0.0009051498955053,3,0.129165,0.0040457074783033,3,23.551,89.84,4.109507584,6.052,6.052,1,165.2,raw,,22,422.5,True,25
resnet101,3,0.9736923333333336,0.0029846062275169,3,0.9680586666666668,0.0022821186063247,3,0.9996903333333332,0.0005363584000771,3,0.9677023333333332,0.0023227305770005,3,0.9734876666666666,0.0029770291119391,3,0.970293,0.0026356198511925,3,0.9680586666666668,0.0022821186063247,3,0.9680586666666668,0.0022821186063247,3,0.9986943333333334,0.0001509315518151,3,0.9654883333333334,0.0029850516466777,3,0.9722583333333332,0.0031476150230505,3,0.9723446666666667,0.0031373145097891,3,0.9994463333333332,0.0002432084154245,3,0.9885706666666666,0.0030694926833816,3,0.101208,0.0166162946230499,3,42.543,162.29,7.831964672,11.642,11.642,1,85.9,raw,,22,616.1999999999999,True,26
