rank,experiment,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,ece_mean,ece_std,P3_f1,P3_acc,leakage,gmean,rank_int,int_f1,int_acc,params_M,gflops,drop_acc_pp,rank_acc,rank_f1
27,benchmark,mnasnet_100,3,0.62875,0.036302643766597,0.62875,0.036302643766597,0.6303962406867681,0.0221021958520849,0.6303962406867684,0.0221021958520849,0.7196237701595583,0.0104595181040124,0.62875,0.036302643766597,0.907985234375,0.016304507004567,0.1544219400656099,0.0192199603646596,0.6500480546503411,0.685138888888889,0.1109722222222222,0.3886373255989352,22,0.97723,0.9814296666666666,3.129,0.324138752,35.26796666666666,11,13
18,benchmark,caformer_s18.sail_in22k_ft_in1k,3,0.6284027777777778,0.0679423306998363,0.6284027777777778,0.0679423306998362,0.6548109257023781,0.0429167657923522,0.6548109257023781,0.0429167657923522,0.7350401456841519,0.026017685069083,0.6284027777777778,0.0679423306998362,0.9316234722222222,0.0122282729474871,0.1110598965972248,0.0367756652427347,0.6988920819731111,0.7397916666666666,0.2183333333333333,0.2811101052898476,13,0.9811803333333334,0.9854533333333334,24.336,3.894573824,35.70505555555557,12,9
34,benchmark,resnext50_32x4d,3,0.6251388888888889,0.0175721890697688,0.6251388888888889,0.0175721890697687,0.6175317514254197,0.0126466227312397,0.6175317514254197,0.0126466227312397,0.652553298459691,0.0310280380251404,0.6251388888888889,0.0175721890697687,0.9157199131944443,0.0065739378594457,0.05441091023489,0.0177078053911352,0.6439168391815514,0.6934722222222223,0.1471527777777777,0.087486118939866,20,0.9790993333333334,0.9829773333333334,23.023,4.257376256,35.78384444444445,13,18
31,benchmark,convnext_tiny,3,0.6172222222222222,0.014387575015089,0.6172222222222222,0.0143875750150889,0.6247226219395903,0.0123155943321168,0.6247226219395903,0.0123155943321168,0.6700140325625975,0.0116738515404776,0.6172222222222222,0.0143875750150889,0.9129263802083332,0.0197310694064809,0.1310355686882718,0.019011712733917,0.6450427631517203,0.6960416666666666,0.1766666666666666,0.1676187561961625,15,0.9802566666666668,0.9848343333333331,27.836,4.469685504,36.761211111111095,14,16
33,benchmark,resnet50,3,0.6124305555555556,0.0130940994274067,0.6124305555555556,0.0130940994274067,0.6212157346642377,0.0104340249152696,0.6212157346642379,0.0104340249152695,0.7007358547755927,0.0353707160701362,0.6124305555555556,0.0130940994274067,0.8985323958333334,0.0044448758026687,0.1083422334916475,0.0180150296438568,0.6439727648425565,0.690486111111111,0.1740972222222222,0.1949705972894387,25,0.9704036666666666,0.9761683333333332,23.551,4.109507584,36.37377777777776,15,17
20,benchmark,swin_tiny_patch4_window7_224,3,0.6042361111111111,0.0114873370298357,0.6042361111111111,0.0114873370298357,0.6519607657332104,0.0117390324380122,0.6519607657332104,0.0117390324380122,0.754606449380138,0.0400312446292219,0.6042361111111111,0.0114873370298357,0.9155309027777778,0.0048225206307128,0.0616941567086097,0.021214768048605,0.6817796062622173,0.7284722222222223,0.2804166666666667,0.2791109540403825,7,0.9833836666666668,0.9870006666666667,27.536,4.508442624,38.276455555555565,16,10
29,benchmark,ghostnet_100,3,0.5965277777777778,0.0561686654771277,0.5965277777777778,0.0561686654771277,0.6277439087915696,0.0510723694360472,0.6277439087915696,0.0510723694360472,0.7572160186318047,0.0437654815988985,0.5965277777777778,0.0561686654771277,0.9189137673611112,0.0076532622212566,0.1354434579326253,0.0405848630843669,0.6735359798677907,0.7159027777777777,0.2308333333333333,0.337275348046175,23,0.975845,0.9808106666666666,3.928,0.147020816,38.428288888888886,17,15
37,benchmark,legacy_xception,3,0.5945138888888889,0.0380972880462833,0.5945138888888889,0.0380972880462832,0.5857880524468547,0.0445312765408802,0.5857880524468547,0.0445312765408801,0.6454732277904477,0.0234800500750184,0.5945138888888889,0.0380972880462832,0.9038355555555556,0.0166286846802355,0.1590525558735761,0.0814834947529154,0.5960342765001052,0.6538194444444444,0.1555555555555555,0.0070870350672516,19,0.9794243333333332,0.9839056666666668,20.85,4.574196,38.939177777777786,18,21
28,benchmark,densenet121,3,0.5655555555555556,0.0320280457972788,0.5655555555555556,0.0320280457972788,0.6291120522460852,0.0206220726118895,0.6291120522460851,0.0206220726118895,0.7646845296993524,0.0404677774415666,0.5655555555555556,0.0320280457972788,0.9204534201388888,0.0114576427491152,0.1178313006119181,0.0102735666387284,0.7200497678357567,0.7584027777777779,0.3381944444444444,0.3198427168169194,11,0.982316,0.9863816666666666,6.975,2.864544256,42.0826111111111,19,14
35,benchmark,deit3_small_patch16_224,3,0.5620138888888889,0.0204647958790301,0.5620138888888889,0.0204647958790301,0.6137307054323698,0.0104705584894119,0.61373070543237,0.010470558489412,0.7078588909920188,0.0118030452680078,0.5620138888888889,0.0204647958790301,0.9054933072916668,0.014940513564995,0.1045537107463719,0.027660815752253,0.6758745858537251,0.7235416666666667,0.3158333333333333,0.0070096563034552,12,0.9813633333333334,0.9854533333333334,21.683,4.250298624,42.343944444444446,20,19
