model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,base,matched,P1_f1_macro_mean,P2_f1_macro_mean,P3_accuracy_mean,P3_f1_macro_mean,P3_f1_macro_std,leakage_rate_mean,leakage_rate_std,mean_prob_mass_on_absent_mean,gmean,rank31_f1,rank31_acc,rank31_p3,rank26_f1,rank26_acc,int_rank31,int_rank26,int_f1,int_acc,drop_acc_pp,drop_f1_pp
caformer_s18.sail_in22k_ft_in1k [matched],matched,recipe_matched,3,0.6229166666666667,0.0283584043509738,3,0.6229166666666667,0.0283584043509738,3,0.8047223333333333,0.0211077899443151,3,0.6530903333333333,0.0279453092545659,3,0.6530903333333333,0.0279453092545659,3,0.7060146666666666,0.0258380621822406,3,0.6229166666666667,0.0283584043509738,3,0.6229166666666667,0.0283584043509738,3,0.9684306666666668,0.0076563166949476,3,0.0077783333333333,0.0002878199668774,3,0.5664710000000001,0.0333313529878401,3,0.5825996666666665,0.0346364884093831,3,0.8933163333333334,0.0077475437613048,3,0.741607,0.0096824791763266,3,0.0977266666666666,0.0213376820984223,3,24.336,92.83,3.894573824,37.02,9.255,4,27.0,ema,,23,1764.2,True,caformer_s18.sail_in22k_ft_in1k,True,0.6530903355967008,0.1865972387419145,0.7223611111111111,0.6768132372708261,0.0237486523133315,0.2192361111111111,0.0139355120239756,0.3254227663704296,0.007778333333333332,11,14,13,,,5,,0.9838503333333332,0.9879293333333332,36.50126666666665,33.075999999999986
ghostnet_100,standard,benchmark,3,0.5926386666666666,0.0179265876935163,3,0.5926386666666666,0.0179265876935163,3,0.85125,0.0077920320841228,3,0.640762,0.0184441916060314,3,0.640762,0.0184441916060314,3,0.7724263333333333,0.0212997136209229,3,0.5926386666666666,0.0179265876935163,3,0.5926386666666666,0.0179265876935163,3,0.973611,0.0054840872531351,3,0.3656650000000001,0.0112183562075733,3,0.5366886666666667,0.0201972343238705,3,0.5519296666666667,0.0200028144603036,3,0.9212576666666666,0.0039223800597766,3,0.7622253333333333,0.0178560386517652,3,0.137399,0.0192723228750454,3,3.928,14.99,0.147020816,10.109,10.109,1,98.9,raw,,28,492.9,True,ghostnet_100,False,0.6407619133667214,0.1830748323904918,0.7345138888888889,0.6943324647656658,0.008961266301468,0.2754166666666667,0.0229989054691256,0.4690081225212645,0.3656650000000001,12,20,4,10.0,16.0,28,23.0,0.975017,0.9801916666666668,38.75530000000001,33.4255
legacy_seresnext50_32x4d [matched],matched,recipe_matched,3,0.6000693333333333,0.0468760019661802,3,0.6000693333333333,0.0468760019661802,3,0.8595139999999999,0.0137722992633764,3,0.6400483333333334,0.0355744904999823,3,0.6400483333333334,0.0355744904999823,3,0.6978036666666667,0.0139839711574835,3,0.6000693333333333,0.0468760019661802,3,0.6000693333333333,0.0468760019661802,3,0.969361,0.0054561641287629,3,0.0074746666666666,0.0005307365950575,3,0.5428769999999999,0.0507081449473356,3,0.5581743333333332,0.0492804844673155,3,0.904532,0.0092370749157945,3,0.7443080000000001,0.0158503489866942,3,0.0821346666666666,0.0144576867559555,3,25.554,97.48,4.2598912,51.907,12.977,4,19.3,ema,,12,1000.6333333333332,True,legacy_seresnext50_32x4d,True,0.6400483634054667,0.1828709609729905,0.7408333333333333,0.6957085293748788,0.0055591514690553,0.2467361111111111,0.043944178869123,0.4320969313108233,0.007474666666666667,13,18,3,,,7,,0.9837606666666666,0.9876196666666668,38.755033333333344,34.371233333333315
convnext_small,standard,benchmark,3,0.6422916666666666,0.0380522876754254,3,0.6422916666666666,0.0380522876754254,3,0.8606943333333333,0.0582975090405527,3,0.6384876666666667,0.0344104270873427,3,0.6384876666666667,0.0344104270873427,3,0.6811596666666667,0.0073740578607259,3,0.6422916666666666,0.0380522876754254,3,0.6422916666666666,0.0380522876754254,3,0.9580833333333332,0.0074803139862797,3,0.0845086666666666,0.1323603021919084,3,0.5832406666666666,0.0419396630212181,3,0.602208,0.0399056582579463,3,0.9285296666666666,0.0105887207127836,3,0.7701296666666666,0.0304219006693095,3,0.125664,0.0108842153139305,3,49.471,188.72,8.704640256,10.224,10.224,1,97.8,raw,,9,1198.3333333333333,True,convnext_small,False,0.6384879149838151,0.1824251185668043,0.706875,0.6574901798575089,0.0158998674538549,0.1481249999999999,0.0459803513289462,0.2374975333026426,0.08450866666666666,14,10,18,11.0,9.0,21,17.0,0.9801856666666668,0.9839056666666668,34.16140000000002,34.169800000000016
efficientnet_b3 [matched],matched,recipe_matched,3,0.5914583333333333,0.0257301325751215,3,0.5914583333333333,0.0257301325751215,3,0.8171526666666665,0.0127414450253232,3,0.629941,0.0115712925812115,3,0.629941,0.0115712925812115,3,0.709765,0.0285045095905893,3,0.5914583333333333,0.0257301325751215,3,0.5914583333333333,0.0257301325751215,3,0.969125,0.0079573009871438,3,0.0825573333333333,0.1298767516429839,3,0.5336413333333333,0.0242695731386716,3,0.5536260000000001,0.0219332230417692,3,0.8941253333333333,0.0108331891118604,3,0.735847,0.005466107115672,3,0.1660913333333333,0.015004401898554,3,10.729,40.93,0.987252112,61.087,15.272,4,16.4,raw,,28,1186.0333333333333,True,efficientnet_b3,True,0.6299408912209112,0.1799831117774032,0.7229166666666668,0.6754573218412463,0.0152520278418167,0.2541666666666666,0.062865597375141,0.4964856518547296,0.08255733333333333,15,21,14,,,23,,0.9794903333333332,0.9842153333333332,39.27569999999999,34.95493333333333
mnasnet_100,standard,benchmark,3,0.6318056666666667,0.0079343909869209,3,0.6318056666666667,0.0079343909869209,3,0.864236,0.0099136258250954,3,0.6288033333333333,0.0036409175125692,3,0.6288033333333333,0.0036409175125692,3,0.6979583333333333,0.0260114365680431,3,0.6318056666666667,0.0079343909869209,3,0.6318056666666667,0.0079343909869209,3,0.946222,0.0015444944156583,3,0.3640673333333333,0.0805926336853023,3,0.5667726666666667,0.009216808142374,3,0.5853403333333334,0.0121547202902136,3,0.9059113333333334,0.0159409162952865,3,0.7468393333333334,0.0083912315147023,3,0.1680699999999999,0.0150091509086956,3,3.129,11.94,0.324138752,5.516,5.516,1,181.3,raw,,24,488.1666666666667,True,mnasnet_100,False,0.628803351475255,0.1796581004215014,0.680625,0.6443151372168004,0.0038112251972417,0.0993055555555555,0.0044795703952417,0.3716009522788297,0.3640673333333333,16,12,22,12.0,11.0,27,22.0,0.9765766666666668,0.9808106666666668,34.900500000000015,34.777333333333345
vit_small_patch16_224 [matched],matched,recipe_matched,3,0.5983336666666667,0.0480288541746868,3,0.5983336666666667,0.0480288541746868,3,0.7979163333333333,0.018300159379998,3,0.626391,0.0291327731429742,3,0.626391,0.0291327731429742,3,0.6814613333333334,0.0006011525042227,3,0.5983336666666667,0.0480288541746868,3,0.5983336666666667,0.0480288541746868,3,0.9671806666666668,0.003564433381806,3,0.0074386666666666,0.0005575386384218,3,0.54027,0.0490646811769932,3,0.5588253333333334,0.0439056847382355,3,0.8897166666666667,0.0155441165825959,3,0.7223709999999999,0.0134195043500123,3,0.0661063333333333,0.0224932310781117,3,21.674,82.68,4.250298624,13.829,3.457,4,72.3,ema,,23,635.3333333333334,True,vit_small_patch16_224,True,0.6263910769885075,0.1789688791395736,0.71875,0.6669440953092489,0.0166206163043123,0.2375694444444444,0.0654210897301587,0.4225777969514456,0.007438666666666666,17,19,17,,,10,,0.983186,0.9873103333333332,38.89766666666665,35.6795
resnext50_32x4d,standard,benchmark,3,0.6252776666666666,0.0382167099752625,3,0.6252776666666666,0.0382167099752625,3,0.8624306666666667,0.0404148510492533,3,0.6212996666666667,0.0265370419665292,3,0.6212996666666667,0.0265370419665292,3,0.6606663333333334,0.0034161221192066,3,0.6252776666666666,0.0382167099752625,3,0.6252776666666666,0.0382167099752625,3,0.9530693333333334,0.0058439324374374,3,0.208148,0.1738579877572497,3,0.5627303333333334,0.042420748158576,3,0.5789810000000001,0.0418718012151376,3,0.917278,0.0106166757509118,3,0.7507656666666667,0.0151539704478177,3,0.0550366666666666,0.006196923779855,3,23.023,87.83,4.257376256,6.57,6.57,1,152.2,raw,,18,841.6,True,resnext50_32x4d,False,0.6212995563465255,0.1775141589561501,0.6920138888888889,0.6496057219290575,0.0359897884829723,0.1400694444444444,0.0386234118096112,0.3273135203109713,0.208148,18,13,21,13.0,12.0,12,9.0,0.9821446666666668,0.9857626666666666,36.0485,36.084500000000006
resnet101,standard,benchmark,3,0.6410416666666666,0.0105017359676071,3,0.6410416666666666,0.0105017359676071,3,0.8667360000000001,0.0219830295455381,3,0.6205683333333333,0.005212509792157,3,0.6205683333333333,0.005212509792157,3,0.6724156666666667,0.0376038699116638,3,0.6410416666666666,0.0105017359676071,3,0.6410416666666666,0.0105017359676071,3,0.949139,0.0034942042012452,3,0.412878,0.0319394303800177,3,0.5781156666666666,0.0102056620232757,3,0.5930623333333334,0.0094935283395233,3,0.9037216666666666,0.0035356451085103,3,0.716974,0.0092522604265119,3,0.0451866666666666,0.0041173598741588,3,42.543,162.29,7.831964672,13.185,13.185,1,75.8,raw,,24,1172.9333333333334,True,resnet101,False,0.6205680275886046,0.1773051507396013,0.6753472222222222,0.6253949485941218,0.0022242641588373,0.1046527777777777,0.0273546770494824,0.2651827670386572,0.412878,19,11,25,14.0,10.0,31,26.0,0.9696703333333332,0.97524,33.41983333333334,34.91019999999999
densenet121,standard,benchmark,3,0.5539583333333334,0.034453252347686,3,0.5539583333333334,0.034453252347686,3,0.803125,0.0263128084589995,3,0.6174593333333334,0.0210314738031678,3,0.6174593333333334,0.0210314738031678,3,0.7781600000000001,0.0424175912093084,3,0.5539583333333334,0.034453252347686,3,0.5539583333333334,0.034453252347686,3,0.9840833333333334,0.0027879602460101,3,0.2183429999999999,0.2029526620396983,3,0.5015040000000001,0.034227483445325,3,0.5214406666666667,0.0318928516494423,3,0.900512,0.0117095476855427,3,0.7547286666666667,0.0141497675010345,3,0.090494,0.0131430638361076,3,6.975,26.61,2.864544256,21.981,21.981,1,45.5,raw,,24,939.9333333333334,True,densenet121,False,0.6174591533344865,0.1764169009527104,0.7429861111111111,0.6935173037421857,0.0085607178032252,0.3664583333333333,0.0480618272240154,0.529628924934556,0.21834299999999998,20,24,7,15.0,19.0,6,5.0,0.9838156666666666,0.9873103333333332,43.33519999999997,36.63563333333333
