rank,experiment,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,ece_mean,ece_std
11,benchmark,efficientnet_b3,3,0.6926388888888889,0.014515217908317037,0.6926388888888889,0.014515217908316974,0.6709041078815776,0.005595383080403326,0.6709041078815776,0.005595383080403287,0.7171267274818794,0.04606251069160144,0.6926388888888889,0.014515217908316974,0.907688767361111,0.003754043717253074,0.11930651898340632,0.012194650283143812
12,benchmark,regnety_016,3,0.6642361111111111,0.026120990300125723,0.6642361111111111,0.026120990300125678,0.6669685029741329,0.012292598821225995,0.6669685029741329,0.0122925988212261,0.716222067591516,0.035941312661479465,0.6642361111111111,0.026120990300125678,0.9161572309027778,0.00841438448330388,0.07645866100262437,0.015318942854495535
13,ablation,wo_random_erasing,3,0.6614583333333334,0.030382400790223495,0.6614583333333334,0.030382400790223495,0.6631742090501899,0.018102721862748115,0.6631742090501899,0.018102721862748052,0.6943733643993674,0.021063741574098408,0.6614583333333334,0.030382400790223495,0.9259281336805555,0.014225419190435675,0.09691021224897768,0.029093680143749207
14,ablation,wo_beta_calib,3,0.6929861111111112,0.013782054387795282,0.6929861111111112,0.013782054387795293,0.6626398520331983,0.014297058854043915,0.6626398520331983,0.014297058854044016,0.6549300544149332,0.014236751725038903,0.6929861111111112,0.013782054387795293,0.9046049652777778,0.02218540247056269,0.17450637619735465,0.013027936427575403
15,ablation,wo_ema,3,0.6874305555555557,0.05539094536748495,0.6874305555555557,0.05539094536748495,0.662429418700861,0.058080763061617906,0.6624294187008611,0.05808076306161791,0.66612531150373,0.059701173616849,0.6874305555555557,0.05539094536748495,0.9218435243055555,0.024311049310717675,0.10438019897581802,0.04977241191728167
16,benchmark,vit_base_patch16_224,3,0.6597916666666667,0.043592474344139334,0.6597916666666666,0.04359247434413926,0.6619303453882114,0.043748721701993086,0.6619303453882114,0.04374872170199311,0.7039558051477378,0.04291021934694974,0.6597916666666666,0.04359247434413926,0.9022106770833335,0.009248739642779759,0.13014703194972957,0.02430806823029
17,benchmark,densenet201,3,0.6322222222222221,0.06247233183874579,0.6322222222222221,0.06247233183874579,0.6587471008432506,0.04916542234762481,0.6587471008432506,0.04916542234762481,0.7125510635512384,0.024154615910445855,0.6322222222222221,0.06247233183874579,0.918006892361111,0.024175818807214772,0.09906672237182242,0.012921130509391632
18,benchmark,caformer_s18-sail_in22k_ft_in1k,3,0.6284027777777778,0.06794233069983635,0.6284027777777778,0.06794233069983628,0.6548109257023781,0.04291676579235223,0.6548109257023781,0.04291676579235225,0.7350401456841519,0.026017685069083005,0.6284027777777778,0.06794233069983628,0.9316234722222222,0.01222827294748717,0.11105989659722482,0.03677566524273478
19,ablation,wo_lap,3,0.655625,0.026649571343227582,0.655625,0.026649571343227537,0.6540889257642595,0.02748928369320845,0.6540889257642596,0.027489283693208615,0.6731189966188471,0.024772067762571254,0.655625,0.026649571343227537,0.9197976388888889,0.007886372519251622,0.1118286050649153,0.02350911996476283
20,benchmark,swin_tiny_patch4_window7_224,3,0.6042361111111111,0.011487337029835796,0.6042361111111111,0.011487337029835766,0.6519607657332104,0.01173903243801228,0.6519607657332104,0.01173903243801228,0.754606449380138,0.04003124462922199,0.6042361111111111,0.011487337029835766,0.9155309027777778,0.004822520630712863,0.061694156708609726,0.02121476804860503
21,ablation,wo_mixup_cooldown,3,0.6561111111111111,0.03643888370093642,0.6561111111111111,0.03643888370093649,0.6499601624666762,0.02867881726639715,0.6499601624666761,0.028678817266397153,0.680298963993164,0.0633592993015345,0.6561111111111111,0.03643888370093649,0.9091252690972221,0.016573349770759183,0.12574466292539405,0.05289376627318546
22,ablation,wo_tta,3,0.6536805555555555,0.0413132581736895,0.6536805555555555,0.0413132581736895,0.6439810751508809,0.03158743482720528,0.6439810751508809,0.03158743482720521,0.6858191325213391,0.012638426853291546,0.6536805555555555,0.0413132581736895,0.9057703298611113,0.029148714199542007,0.13828469689935444,0.038630063313844665
23,ablation,wo_label_smoothing,3,0.6724305555555555,0.03138328059534126,0.6724305555555556,0.03138328059534135,0.6423433193747121,0.04517281677093863,0.6423433193747122,0.045172816770938665,0.6409535633898512,0.03830140322135766,0.6724305555555556,0.03138328059534135,0.9099472222222222,0.009890440180788931,0.2190177479220761,0.03767886956669977
24,benchmark,convnext_small,3,0.6431944444444445,0.048206700731022546,0.6431944444444445,0.04820670073102251,0.6395200003461493,0.03362304768574165,0.6395200003461493,0.03362304768574159,0.6651987492748196,0.014586421619899408,0.6431944444444445,0.04820670073102251,0.8984236284722221,0.03516123899267424,0.1406311513773269,0.028311396370051534
25,benchmark,resnet101,3,0.6429861111111111,0.018343194948697586,0.6429861111111111,0.018343194948697586,0.6361249294836759,0.029061283882659703,0.6361249294836759,0.02906128388265976,0.6921877100688741,0.03902813542577246,0.6429861111111111,0.018343194948697586,0.9077012673611112,0.007076472110925831,0.054803423249266216,0.015735997203809398
26,ablation,wo_mixstyle,3,0.6127083333333333,0.034671699354244315,0.6127083333333333,0.034671699354244315,0.6339445557297664,0.035641287470536166,0.6339445557297664,0.03564128747053614,0.6781634983910446,0.030025309856874422,0.6127083333333333,0.034671699354244315,0.9006080121527779,0.013564070369653115,0.1013839254818029,0.015421375436857317
