experiment,model,seed,accuracy,balanced_accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,g_mean_macro,cohen_kappa,mcc,auc_macro_ovr,auc_weighted_ovr,average_precision_macro,log_loss,ece,n_zero_recall_classes
ablation,wo_two_phase,1234,0.7066666666666667,0.7066666666666667,0.8679166666666667,0.6749893098474063,0.7066666666666667,0.6833499855864824,0.6749893098474062,0.7066666666666667,0.6833499855864823,0.7066666666666667,0.9586666666666667,0.008599530234679556,0.653997378768021,0.670389823773965,0.9254940625,0.9254940625,0.7504568107337627,1.3303426504135132,0.12348217611511546,1
ablation,wo_two_phase,2024,0.7141666666666666,0.7141666666666667,0.9479166666666666,0.6581476699431027,0.7141666666666667,0.6755080423882404,0.6581476699431028,0.7141666666666666,0.6755080423882405,0.7141666666666667,0.9494166666666667,0.008726909244634722,0.659243314843944,0.6787659536690913,0.91932453125,0.9193245312499999,0.7497805095950026,1.2644370794296265,0.1165978530483941,1
ablation,wo_two_phase,42,0.68,0.68,0.9533333333333334,0.674257396757011,0.68,0.656398503117825,0.6742573967570109,0.68,0.656398503117825,0.68,0.9513333333333334,0.4032143898743661,0.6217990807616546,0.635619646350809,0.9219964062499999,0.9219964062500001,0.7700547471140268,1.279687523841858,0.12397380387720963,0
benchmark,caformer_s18-sail_in22k_ft_in1k,1234,0.6908333333333333,0.6908333333333334,0.9016666666666666,0.7107153659938205,0.6908333333333334,0.6908691344579018,0.7107153659938202,0.6908333333333333,0.6908691344579018,0.6908333333333334,0.9629166666666666,0.4072360805497381,0.6379604781654062,0.6494380759355582,0.9454885937499999,0.94548859375,0.8064397266618114,1.1887937784194946,0.07524920828019581,0
benchmark,caformer_s18-sail_in22k_ft_in1k,2024,0.6383333333333333,0.6383333333333333,0.865625,0.7624717449429256,0.6383333333333333,0.6662216408227538,0.7624717449429256,0.6383333333333333,0.6662216408227537,0.6383333333333333,0.9709166666666667,0.42919096547007,0.583992331655883,0.6013444551815211,0.9270038020833332,0.9270038020833332,0.7740218036838783,1.5238221883773804,0.14872999488376082,0
benchmark,caformer_s18-sail_in22k_ft_in1k,42,0.5560416666666667,0.5560416666666668,0.8154166666666667,0.7319333261157096,0.5560416666666668,0.6073420018264787,0.7319333261157096,0.5560416666666667,0.6073420018264787,0.5560416666666668,0.9742083333333333,0.006903269849734674,0.498824082784572,0.5202705351507283,0.9223780208333333,0.9223780208333333,0.7699753092365995,1.7168078422546387,0.10920048662771782,1
benchmark,convnext_small,1234,0.6747916666666667,0.6747916666666667,0.8660416666666667,0.6528834402507545,0.6747916666666667,0.6494428331467145,0.6528834402507546,0.6747916666666667,0.6494428331467145,0.6747916666666667,0.9501249999999999,0.0082574162793483,0.615580364472172,0.6342583513776642,0.907111640625,0.9071116406249999,0.7448916454031541,1.4091612100601196,0.13963245985719064,1
benchmark,convnext_small,2024,0.5877083333333334,0.5877083333333334,0.76375,0.6614058476011505,0.5877083333333334,0.6020522402944087,0.6614058476011505,0.5877083333333334,0.6020522402944088,0.5877083333333334,0.9592499999999999,0.007146623609703998,0.5250589976400943,0.5405508595311407,0.8597328385416666,0.8597328385416667,0.6897005600321546,1.8539091348648071,0.16942867951467633,1
benchmark,convnext_small,42,0.6670833333333334,0.6670833333333333,0.8189583333333333,0.6813069599725537,0.6670833333333333,0.6670649275973245,0.6813069599725539,0.6670833333333334,0.6670649275973245,0.6670833333333333,0.9620000000000001,0.008169478482836712,0.6116017175727133,0.626257297968973,0.92842640625,0.9284264062500001,0.7838829275746395,1.4317272901535034,0.11283231476011375,1
benchmark,convnext_tiny,1234,0.60125,0.6012500000000001,0.8022916666666666,0.6573505755080928,0.6012500000000001,0.61852054812322,0.6573505755080927,0.60125,0.61852054812322,0.6012500000000001,0.962125,0.24328894095180584,0.5407318536292742,0.5533166075128554,0.9114086197916667,0.9114086197916667,0.7426861103882837,1.6293202638626099,0.1393808470790585,0
benchmark,convnext_tiny,2024,0.62125,0.6212500000000001,0.8152083333333333,0.6803465674286583,0.6212500000000001,0.638906283718964,0.6803465674286581,0.62125,0.638906283718964,0.6212500000000001,0.9585416666666667,0.2520758362326456,0.5605688272972646,0.5739764014936152,0.9333724999999999,0.9333725,0.7815293651701621,1.5074197053909302,0.14444736771285535,0
benchmark,convnext_tiny,42,0.6291666666666667,0.6291666666666665,0.8135416666666667,0.6723449547510413,0.6291666666666665,0.6167410339765867,0.6723449547510413,0.6291666666666667,0.6167410339765867,0.6291666666666665,0.9556666666666667,0.007491491404036014,0.5678912445379511,0.5875059241147689,0.8939980208333332,0.8939980208333332,0.7182886050240284,1.6178462505340576,0.10927849127290151,1
benchmark,deit3_small_patch16_224,1234,0.5510416666666667,0.5510416666666665,0.846875,0.7003005214067278,0.5510416666666665,0.6047449133787842,0.7003005214067278,0.5510416666666667,0.6047449133787842,0.5510416666666665,0.9754583333333334,0.00687811524214949,0.49425017601501997,0.5165430946172311,0.9160115104166667,0.9160115104166667,0.737263790368249,1.6662312746047974,0.07376595328251521,1
benchmark,deit3_small_patch16_224,2024,0.585625,0.585625,0.8389583333333334,0.7018164076723855,0.585625,0.6252289030913185,0.7018164076723855,0.585625,0.6252289030913186,0.585625,0.9736249999999999,0.007244523003531906,0.5293421675343114,0.547149539869356,0.9120766927083332,0.9120766927083334,0.7383723502229252,1.6714756488800049,0.12731007688678803,1
benchmark,deit3_small_patch16_224,42,0.549375,0.5493750000000001,0.7745833333333333,0.7214597438969431,0.5493750000000001,0.611218299827007,0.7214597438969431,0.549375,0.611218299827007,0.5493750000000001,0.9776249999999999,0.006906330664684316,0.4935612268789511,0.5108007553755599,0.88839171875,0.88839171875,0.7196493306272891,1.8151533603668213,0.11258510206981252,1
benchmark,densenet121,1234,0.531875,0.531875,0.7979166666666667,0.7324679674549194,0.531875,0.6056673741903574,0.7324679674549194,0.531875,0.6056673741903574,0.531875,0.9825416666666668,0.2824529625119456,0.478008363016881,0.4942046598933412,0.9072353125,0.9072353124999999,0.7547007974214174,1.8065521717071533,0.11508506950611869,0
