model,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete
deit3_small_patch16_224,3,0.902889,0.0001922576396401614,3,0.902889,0.0001922576396401614,3,0.9083333333333333,0.00895076657797158,3,0.8940163333333334,0.0002146633022510749,3,0.8940163333333334,0.0002146633022510749,3,0.9386003333333334,0.0004007646857363266,3,0.902889,0.0001922576396401614,3,0.902889,0.0001922576396401614,3,0.9806886666666667,7.678758580218485e-05,3,0.8645986666666667,0.00016685422779579245,3,0.8834796666666667,0.00022242376971299356,3,0.8935313333333333,0.00032806452617333915,3,0.9581176666666668,0.018405288624016015,3,0.9212763333333335,0.021296258975072,3,0.06398833333333333,0.002868023419244221,3,21.683,82.71,4.250298624,2.814,2.814,1,355.3,raw,,23,283.9666666666667,True
mnasnet_100,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.904111,0.001347535528288556,3,0.8939706666666667,0.00013452261272114106,3,0.8939706666666667,0.00013452261272114106,3,0.9386863333333334,0.00011489270356870621,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.980667,0.0,3,0.8645023333333333,0.00016685422779579245,3,0.8833466666666666,0.00022632130552230323,3,0.8934313333333334,0.0002499926665590535,3,0.9287230000000001,0.008843270718461615,3,0.9009313333333333,0.001596328391445012,3,0.011849333333333332,0.0035766142276367086,3,3.129,11.94,0.324138752,3.508,3.508,1,285.1,raw,,24,261.43333333333334,True
convnext_small,3,0.902889,0.0001922576396401614,3,0.902889,0.0001922576396401614,3,0.9043333333333333,0.0023094010767585054,3,0.8939703333333333,9.64174949546838e-05,3,0.8939703333333333,9.64174949546838e-05,3,0.938685,0.0,3,0.902889,0.0001922576396401614,3,0.902889,0.0001922576396401614,3,0.9806,0.0,3,0.8645986666666667,0.00016685422779579245,3,0.8834693333333333,0.00022632130552236734,3,0.8936163333333335,0.00022978540713747652,3,0.9099916666666666,0.014075419579299708,3,0.8427513333333333,0.008235666113517096,3,0.0030380000000000003,0.002106651133908982,3,49.471,188.72,8.704640256,5.827,5.827,1,171.6,raw,,20,726.5666666666666,True
regnety_016,3,0.902889,0.00019225763964016138,3,0.902889,0.00019225763964016138,3,0.9152223333333334,0.011950409881394604,3,0.8939149999999999,0.00019225763964016138,3,0.8939149999999999,0.00019225763964016138,3,0.9385743333333334,0.00019168028937095516,3,0.902889,0.00019225763964016138,3,0.902889,0.00019225763964016138,3,0.9805776666666667,3.8682468035727586e-05,3,0.8645986666666667,0.00016685422779579245,3,0.8834666666666667,0.00023094010767588897,3,0.893614,0.0002338268590217919,3,0.9488936666666666,0.020116199351103408,3,0.9010856666666668,0.027548377617081794,3,0.073059,0.009890964108720646,3,10.332,39.41,1.627317616,11.113,11.113,1,90.0,raw,,30,353.59999999999997,True
ghostnet_100,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.9093330000000001,0.006082762530298161,3,0.8938706666666668,0.0001676196090358751,3,0.8938706666666668,0.0001676196090358751,3,0.9385526666666667,0.00017594411991690533,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.9805999999999999,6.699999999998374e-05,3,0.8645023333333333,0.00016685422779579245,3,0.8833386666666666,0.00022646265328603052,3,0.89346,0.00025189878919913884,3,0.9580773333333333,0.0019046958637360613,3,0.9110816666666667,0.005070053878740714,3,0.078278,0.02472604750056102,3,3.928,14.99,0.147020816,7.03,7.03,1,142.2,raw,,13,268.23333333333335,True
vit_base_patch16_224,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.9067776666666667,0.003976593558981478,3,0.8938580000000002,0.00012328422445715038,3,0.8938580000000002,0.00012328422445715038,3,0.9383326666666667,0.00038746526726064827,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.9805999999999999,6.699999999998374e-05,3,0.8645023333333333,0.00016685422779579245,3,0.8833386666666666,0.00022646265328603052,3,0.8934363333333333,0.00023985273259505976,3,0.9538346666666667,0.016874322544426276,3,0.9097733333333333,0.01595982275381948,3,0.028243,0.016833931477821813,3,85.815,327.36,16.866660864,5.024,5.024,1,199.1,raw,,24,764.3000000000001,True
resnet101,3,0.9024443333333334,0.0005092114819339119,3,0.9024443333333334,0.0005092114819339119,3,0.9043333333333333,0.0006665000625156402,3,0.8938523333333332,0.00044571552960752,3,0.8938523333333332,0.00044571552960752,3,0.938716,0.000319824952122277,3,0.9024443333333334,0.0005092114819339119,3,0.9024443333333334,0.0005092114819339119,3,0.9807776666666667,0.00026978757075399947,3,0.8640796666666667,0.0005359340755478558,3,0.8829673333333333,0.000605892179627129,3,0.8929646666666667,0.0006312941733719288,3,0.9586269999999999,0.009464760377315442,3,0.9164613333333334,0.017363440797645336,3,0.07016133333333334,0.016939965564703292,3,42.543,162.29,7.831964672,11.642,11.642,1,85.9,raw,,22,616.1999999999999,True
densenet121,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.9053333333333334,0.0003335001249374944,3,0.8938373333333333,0.0002499926665591176,3,0.8938373333333333,0.0002499926665591176,3,0.9385083333333334,0.0002690452254423462,3,0.9027780000000001,0.00019225763964016138,3,0.9027780000000001,0.00019225763964016138,3,0.9805776666666666,7.736493607139108e-05,3,0.8645023333333333,0.00016685422779579245,3,0.8833359999999999,0.0002355589098293465,3,0.8934693333333333,0.00021708370121526,3,0.9539506666666666,0.0023174564361241575,3,0.9018913333333334,0.013396160357853827,3,0.04665866666666666,0.01838442314388279,3,6.975,26.61,2.864544256,14.737,14.737,1,67.9,raw,,10,422.1333333333334,True
caformer_s18.sail_in22k_ft_in1k,3,0.9025556666666666,0.0007696079088297876,3,0.9025556666666666,0.0007696079088297876,3,0.924889,0.01698510677034441,3,0.8938363333333333,0.00041811521538129276,3,0.8938363333333333,0.00041811521538129276,3,0.9387296666666667,7.736493607139108e-05,3,0.9025556666666666,0.0007696079088297876,3,0.9025556666666666,0.0007696079088297876,3,0.9806223333333333,3.868246803566349e-05,3,0.8643093333333333,0.000667994261452376,3,0.8830796666666667,0.0009081807822968528,3,0.8932093333333334,0.0009097309125962928,3,0.9509896666666667,0.0257774643697423,3,0.8851423333333334,0.017348030013039896,3,0.018039666666666666,0.02197414672594441,3,24.336,92.83,3.894573824,8.744,8.744,1,114.4,raw,,7,577.7333333333333,True
efficientnet_b3,3,0.9027776666666667,0.0003850926295494649,3,0.9027776666666667,0.0003850926295494649,3,0.9048886666666668,0.0009624428987390912,3,0.893771,0.0004416729559300727,3,0.893771,0.0004416729559300727,3,0.9385300000000001,0.00026846787517314,3,0.9027776666666667,0.0003850926295494649,3,0.9027776666666667,0.0003850926295494649,3,0.9805556666666666,7.678758580224895e-05,3,0.8643683333333333,0.0005658032638058222,3,0.8833333333333334,0.00046188021535171385,3,0.8935029999999999,0.0004260844986619533,3,0.9599376666666667,0.008902239736905177,3,0.9296166666666666,0.01730865475227161,3,0.107114,0.04996958644015378,3,10.729,40.93,0.987252112,8.1,8.1,1,123.5,raw,,21,497.3333333333333,True
