tag,model,seed,started_at,ended_at,run_duration_sec,train_sec_cumulative,n_epochs
ablation/wo_msf/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T12:59:46,2026-08-05T13:17:37,1070.3,993.7,32
ablation/wo_lap/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T13:17:39,2026-08-05T13:33:22,943.2,869.1,27
ablation/wo_hier/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T13:33:25,2026-08-05T13:48:39,914.2,841.6,26
ablation/wo_mixstyle/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T13:48:42,2026-08-05T14:04:19,937.5,860.1,27
ablation/wo_lap_gate/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T14:04:22,2026-08-05T14:22:50,1108.9,1031.5,32
ablation/wo_mixup/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T14:22:53,2026-08-05T14:37:01,848.5,774.4,24
ablation/wo_ema/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T14:37:04,2026-08-05T14:53:51,1006.9,932.1,32
ablation/wo_tta/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T14:53:53,2026-08-05T15:12:01,1087.3,1030.7,32
ablation/wo_llrd/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T15:12:03,2026-08-05T15:30:27,1103.4,1025.9,32
ablation/wo_beta_calib/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T15:30:29,2026-08-05T15:46:44,975.1,902.8,28
ablation/wo_mixup_cooldown/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T15:46:47,2026-08-05T16:00:18,811.2,738.3,23
ablation/wo_sampler/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T16:00:21,2026-08-05T16:09:30,548.9,480.1,15
ablation/wo_random_erasing/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T16:09:32,2026-08-05T16:24:47,914.4,840.1,26
ablation/wo_label_smoothing/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T16:24:49,2026-08-05T16:39:30,881.0,806.0,25
ablation/wo_two_phase/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T16:39:33,2026-08-05T16:55:52,978.9,903.4,27
