tag,experiment,model,recipe,tta_group,repeat_id,seed,split,n_test,accuracy,balanced_accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,g_mean_macro,cohen_kappa,mcc,auc_macro_ovr,auc_weighted_ovr,average_precision_macro,log_loss,ece,n_zero_recall_classes,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,train_sec,n_epochs,best_epoch,select_src,hier_beta,proto_P1_accuracy,proto_P1_f1_macro,proto_P2_f1_macro,proto_P3_accuracy,proto_P3_f1_macro,proto_leakage_rate,proto_mean_prob_mass_on_absent,proto_off_plant_rate
benchmark/efficientnet_b3/seed42,benchmark,efficientnet_b3,standard,none,0,42,external,4800,0.659792,0.659792,0.8775,0.730724,0.659792,0.651035,0.730724,0.659792,0.651035,0.659792,0.951167,0.464494,0.599444,0.614367,0.908919,0.908919,0.734259,1.440239,0.170343,0,10.729,40.93,0.987252112,20.767,20.767,1,48.2,580.7,20,11,raw,,0.6597916666666667,0.6510348004428596,0.18600994298367415,0.6983333333333334,0.6588124077370088,0.09604166666666666,0.37081666232767624,0.09604166666666666
benchmark/mnasnet_100/seed42,benchmark,mnasnet_100,standard,none,0,42,internal_test,1077,0.978644,0.974151,1.0,0.975402,0.974151,0.973356,0.980464,0.978644,0.97851,0.974151,0.998942,0.972084,0.977481,0.977566,0.999629,0.999695,0.991026,0.175481,0.107962,0,3.129,11.94,0.324138752,5.516,5.516,1,181.3,443.7,32,24,raw,,,,,,,,,
benchmark/mnasnet_100/seed42,benchmark,mnasnet_100,standard,none,0,42,external,4800,0.635417,0.635417,0.866667,0.69049,0.635417,0.631747,0.69049,0.635417,0.631747,0.635417,0.947708,0.29038,0.571341,0.595285,0.887511,0.887511,0.744418,1.510564,0.168809,0,3.129,11.94,0.324138752,5.516,5.516,1,181.3,443.7,32,24,raw,,0.6354166666666666,0.6317472394453402,0.18049921127009722,0.6875,0.6486494944949883,0.103125,0.35609926095457317,0.103125
benchmark/regnety_016/seed42,benchmark,regnety_016,standard,none,0,42,internal_test,1077,0.982358,0.978524,1.0,0.97982,0.978524,0.978721,0.982938,0.982358,0.982322,0.978524,0.999123,0.977583,0.981396,0.981422,0.999712,0.999773,0.99236,0.203094,0.14789,0,10.332,39.41,1.627317616,16.169,16.169,1,61.8,393.5,16,7,raw,,,,,,,,,
benchmark/regnety_016/seed42,benchmark,regnety_016,standard,none,0,42,external,4800,0.66,0.66,0.831042,0.675826,0.66,0.648656,0.675826,0.66,0.648656,0.66,0.951042,0.008142,0.599624,0.622265,0.902367,0.902367,0.723872,1.495336,0.122892,1,10.332,39.41,1.627317616,16.169,16.169,1,61.8,393.5,16,7,raw,,0.66,0.6486563904632456,0.18533039727521303,0.7025,0.658676433649663,0.09520833333333334,0.3148907619530473,0.09520833333333334
benchmark/ghostnet_100/seed42,benchmark,ghostnet_100,standard,none,0,42,internal_test,1077,0.98143,0.975949,1.0,0.978369,0.975949,0.975602,0.983433,0.98143,0.981317,0.975949,0.999082,0.973594,0.980418,0.980508,0.999497,0.999584,0.989774,0.177119,0.115668,0,3.928,14.99,0.147020816,10.109,10.109,1,98.9,504.1,32,28,raw,,,,,,,,,
benchmark/ghostnet_100/seed42,benchmark,ghostnet_100,standard,none,0,42,external,4800,0.610208,0.610208,0.846042,0.795434,0.610208,0.661752,0.795434,0.610208,0.661752,0.610208,0.979375,0.370875,0.557613,0.572864,0.925733,0.925733,0.782679,1.533922,0.155947,0,3.928,14.99,0.147020816,10.109,10.109,1,98.9,504.1,32,28,raw,,0.6102083333333334,0.6617522639392297,0.1890720754112085,0.7460416666666667,0.7025365103132852,0.2866666666666667,0.48190163623550686,0.2866666666666667
benchmark/convnext_tiny/seed42,benchmark,convnext_tiny,standard,none,0,42,internal_test,1077,0.98143,0.976627,1.0,0.978518,0.976627,0.976308,0.983079,0.98143,0.981335,0.976627,0.99908,0.974741,0.980418,0.980491,0.999654,0.999713,0.993451,0.152883,0.101398,0,27.836,106.19,4.469685504,5.582,5.582,1,179.2,481.7,19,10,raw,,,,,,,,,
benchmark/convnext_tiny/seed42,benchmark,convnext_tiny,standard,none,0,42,external,4800,0.622708,0.622708,0.809792,0.669434,0.622708,0.64093,0.669434,0.622708,0.64093,0.622708,0.963042,0.286567,0.564035,0.574674,0.930599,0.930599,0.769341,1.520488,0.089498,0,27.836,106.19,4.469685504,5.582,5.582,1,179.2,481.7,19,10,raw,,0.6227083333333333,0.6409297710673899,0.18312279173353999,0.7166666666666667,0.6670324790338951,0.1925,0.31754403003723686,0.1925
benchmark/convnext_small/seed42,benchmark,convnext_small,standard,none,0,42,internal_test,1077,0.976787,0.972873,0.999071,0.9761,0.972873,0.972148,0.979849,0.976787,0.976513,0.972873,0.998846,0.97014,0.975523,0.975673,0.99882,0.99894,0.989316,0.149235,0.077373,0,49.471,188.72,8.704640256,10.224,10.224,1,97.8,834.3,18,9,raw,,,,,,,,,
benchmark/convnext_small/seed42,benchmark,convnext_small,standard,none,0,42,external,4800,0.600833,0.600833,0.821667,0.674943,0.600833,0.606444,0.674943,0.600833,0.606444,0.600833,0.95875,0.237345,0.538795,0.558049,0.937174,0.937174,0.803064,1.560756,0.138182,0,49.471,188.72,8.704640256,10.224,10.224,1,97.8,834.3,18,9,raw,,0.6008333333333333,0.606444343325875,0.17326981237882144,0.6908333333333333,0.645713248826476,0.19291666666666665,0.27850529023811155,0.19291666666666665
benchmark/vit_small_patch16_224/seed42,benchmark,vit_small_patch16_224,standard,none,0,42,internal_test,1077,0.983287,0.978044,0.999071,0.980552,0.978044,0.977822,0.985226,0.983287,0.98322,0.978044,0.999173,0.975767,0.982376,0.982459,0.998951,0.999087,0.988842,0.146834,0.086315,0,21.674,82.68,4.250298624,4.101,4.101,1,243.8,540.8,29,20,raw,,,,,,,,,
benchmark/vit_small_patch16_224/seed42,benchmark,vit_small_patch16_224,standard,none,0,42,external,4800,0.655417,0.655417,0.83125,0.704225,0.655417,0.666263,0.704225,0.655417,0.666263,0.655417,0.964542,0.320834,0.599887,0.613592,0.93209,0.93209,0.788105,1.392692,0.037724,0,21.674,82.68,4.250298624,4.101,4.101,1,243.8,540.8,29,20,raw,,0.6554166666666666,0.6662634395439647,0.1903609827268471,0.7304166666666667,0.6804094202770002,0.16729166666666667,0.3203933617172455,0.16729166666666667
benchmark/vit_base_patch16_224/seed42,benchmark,vit_base_patch16_224,standard,none,0,42,internal_test,1077,0.98143,0.977302,0.999071,0.978186,0.977302,0.976747,0.982796,0.98143,0.98138,0.977302,0.99908,0.975792,0.980419,0.980477,0.998599,0.998699,0.989813,0.141795,0.087601,0,85.815,327.36,16.866660864,8.117,8.117,1,123.2,1025.8,23,14,raw,,,,,,,,,
benchmark/vit_base_patch16_224/seed42,benchmark,vit_base_patch16_224,standard,none,0,42,external,4800,0.510417,0.510417,0.79625,0.715385,0.510417,0.548548,0.715385,0.510417,0.548548,0.510417,0.949375,0.255204,0.439029,0.459763,0.867315,0.867315,0.68537,1.950692,0.199437,0,85.815,327.36,16.866660864,8.117,8.117,1,123.2,1025.8,23,14,raw,,0.5104166666666666,0.5485476131097223,0.1567278894599207,0.6610416666666666,0.6261901474469972,0.23645833333333333,0.3215159583229797,0.23645833333333333
benchmark/swin_tiny_patch4_window7_224/seed42,benchmark,swin_tiny_patch4_window7_224,standard,none,0,42,internal_test,1077,0.988858,0.984631,0.999071,0.984755,0.984631,0.98438,0.98923,0.988858,0.98882,0.984631,0.999451,0.983459,0.988251,0.988269,0.998832,0.998952,0.991459,0.124523,0.08745,0,27.536,105.04,4.508442624,10.251,10.251,1,97.6,1099.0,32,26,raw,,,,,,,,,
