model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete
convnext_small,standard,benchmark,3,0.6422916666666666,0.03805228767542546,3,0.6422916666666666,0.03805228767542546,3,0.8606943333333333,0.05829750904055276,3,0.6384876666666667,0.034410427087342786,3,0.6384876666666667,0.034410427087342786,3,0.6811596666666667,0.007374057860725916,3,0.6422916666666666,0.03805228767542546,3,0.6422916666666666,0.03805228767542546,3,0.9580833333333333,0.007480313986279774,3,0.08450866666666668,0.13236030219190847,3,0.5832406666666666,0.04193966302121812,3,0.602208,0.03990565825794632,3,0.9285296666666666,0.010588720712783646,3,0.7701296666666666,0.030421900669309516,3,0.125664,0.010884215313930537,3,49.471,188.72,8.704640256,10.224,10.224,1,97.8,raw,,9,1198.3333333333333,True
efficientnet_b3 [matched],matched,recipe_matched,3,0.5914583333333333,0.025730132575121554,3,0.5914583333333333,0.025730132575121554,3,0.8171526666666665,0.012741445025323225,3,0.629941,0.011571292581211517,3,0.629941,0.011571292581211517,3,0.709765,0.028504509590589335,3,0.5914583333333333,0.025730132575121554,3,0.5914583333333333,0.025730132575121554,3,0.969125,0.007957300987143817,3,0.08255733333333333,0.12987675164298398,3,0.5336413333333333,0.024269573138671664,3,0.5536260000000001,0.02193322304176929,3,0.8941253333333333,0.01083318911186048,3,0.735847,0.005466107115672035,3,0.16609133333333334,0.015004401898554077,3,10.729,40.93,0.987252112,61.087,15.272,4,16.4,raw,,28,1186.0333333333333,True
mnasnet_100,standard,benchmark,3,0.6318056666666667,0.007934390986920977,3,0.6318056666666667,0.007934390986920977,3,0.864236,0.009913625825095486,3,0.6288033333333333,0.003640917512569241,3,0.6288033333333333,0.003640917512569241,3,0.6979583333333333,0.026011436568043115,3,0.6318056666666667,0.007934390986920977,3,0.6318056666666667,0.007934390986920977,3,0.946222,0.0015444944156583777,3,0.3640673333333333,0.08059263368530237,3,0.5667726666666667,0.009216808142374097,3,0.5853403333333334,0.01215472029021369,3,0.9059113333333334,0.01594091629528657,3,0.7468393333333334,0.008391231514702314,3,0.16806999999999997,0.015009150908695663,3,3.129,11.94,0.324138752,5.516,5.516,1,181.3,raw,,24,488.1666666666667,True
vit_small_patch16_224 [matched],matched,recipe_matched,3,0.5983336666666667,0.04802885417468683,3,0.5983336666666667,0.04802885417468683,3,0.7979163333333333,0.018300159379998075,3,0.626391,0.029132773142974234,3,0.626391,0.029132773142974234,3,0.6814613333333334,0.0006011525042227774,3,0.5983336666666667,0.04802885417468683,3,0.5983336666666667,0.04802885417468683,3,0.9671806666666667,0.0035644333818060734,3,0.007438666666666667,0.0005575386384218886,3,0.54027,0.049064681176993294,3,0.5588253333333334,0.04390568473823557,3,0.8897166666666667,0.015544116582595906,3,0.7223709999999999,0.013419504350012323,3,0.06610633333333334,0.022493231078111776,3,21.674,82.68,4.250298624,13.829,3.457,4,72.3,ema,,23,635.3333333333334,True
resnext50_32x4d,standard,benchmark,3,0.6252776666666666,0.03821670997526259,3,0.6252776666666666,0.03821670997526259,3,0.8624306666666667,0.04041485104925337,3,0.6212996666666667,0.026537041966529232,3,0.6212996666666667,0.026537041966529232,3,0.6606663333333334,0.0034161221192066838,3,0.6252776666666666,0.03821670997526259,3,0.6252776666666666,0.03821670997526259,3,0.9530693333333334,0.005843932437437426,3,0.208148,0.17385798775724973,3,0.5627303333333334,0.04242074815857608,3,0.5789810000000001,0.04187180121513761,3,0.917278,0.010616675750911818,3,0.7507656666666667,0.015153970447817761,3,0.05503666666666667,0.0061969237798550755,3,23.023,87.83,4.257376256,6.57,6.57,1,152.2,raw,,18,841.6,True
resnet101,standard,benchmark,3,0.6410416666666666,0.010501735967607126,3,0.6410416666666666,0.010501735967607126,3,0.8667360000000001,0.021983029545538105,3,0.6205683333333333,0.005212509792157078,3,0.6205683333333333,0.005212509792157078,3,0.6724156666666667,0.0376038699116638,3,0.6410416666666666,0.010501735967607126,3,0.6410416666666666,0.010501735967607126,3,0.9491390000000001,0.0034942042012452578,3,0.412878,0.03193943038001774,3,0.5781156666666666,0.010205662023275731,3,0.5930623333333334,0.009493528339523355,3,0.9037216666666666,0.003535645108510361,3,0.716974,0.009252260426511982,3,0.045186666666666674,0.004117359874158844,3,42.543,162.29,7.831964672,13.185,13.185,1,75.8,raw,,24,1172.9333333333334,True
densenet121,standard,benchmark,3,0.5539583333333334,0.034453252347686016,3,0.5539583333333334,0.034453252347686016,3,0.803125,0.02631280845899957,3,0.6174593333333334,0.02103147380316782,3,0.6174593333333334,0.02103147380316782,3,0.7781600000000001,0.04241759120930843,3,0.5539583333333334,0.034453252347686016,3,0.5539583333333334,0.034453252347686016,3,0.9840833333333334,0.002787960246010185,3,0.21834299999999998,0.20295266203969833,3,0.5015040000000001,0.03422748344532505,3,0.5214406666666667,0.031892851649442305,3,0.900512,0.011709547685542722,3,0.7547286666666667,0.01414976750103454,3,0.090494,0.013143063836107626,3,6.975,26.61,2.864544256,21.981,21.981,1,45.5,raw,,24,939.9333333333334,True
convnext_tiny,standard,benchmark,3,0.6071526666666668,0.06740194403971847,3,0.6071526666666668,0.06740194403971847,3,0.7798613333333333,0.042143208780696016,3,0.6116613333333333,0.05798103780835017,3,0.6116613333333333,0.05798103780835017,3,0.6647496666666667,0.01740098837231186,3,0.6071526666666668,0.06740194403971847,3,0.6071526666666668,0.06740194403971847,3,0.954889,0.007134071558373917,3,0.100396,0.16123106395170878,3,0.544359,0.07337501545485357,3,0.5614366666666667,0.07428786340535937,3,0.9087000000000001,0.025352286898818407,3,0.7548626666666666,0.034633878534367724,3,0.12047366666666666,0.06056446684594305,3,27.836,106.19,4.469685504,5.582,5.582,1,179.2,raw,,10,606.3333333333334,True
resnet50,standard,benchmark,3,0.5871529999999999,0.06952345261133112,3,0.5871529999999999,0.06952345261133112,3,0.8234026666666666,0.051082318960021106,3,0.600725,0.04480529465364559,3,0.600725,0.04480529465364559,3,0.697616,0.034170206423140045,3,0.5871529999999999,0.06952345261133112,3,0.5871529999999999,0.06952345261133112,3,0.9598333333333332,0.0077654183617712124,3,0.19449133333333335,0.1675341233341236,3,0.525652,0.06997572238283789,3,0.5449393333333333,0.06921996244099916,3,0.904041,0.013710446418698377,3,0.731726,0.021162541411654703,3,0.082494,0.0194237748905819,3,23.551,89.84,4.109507584,6.499,6.499,1,153.9,raw,,31,776.0666666666666,True
mobilenetv3_large_100,standard,benchmark,3,0.5442359999999999,0.057437110938834676,3,0.5442359999999999,0.057437110938834676,3,0.7856943333333333,0.011304680903649326,3,0.5990576666666666,0.04439549373904218,3,0.5990576666666666,0.04439549373904218,3,0.7177713333333333,0.02530844255052717,3,0.5442359999999999,0.057437110938834676,3,0.5442359999999999,0.057437110938834676,3,0.971139,0.0024287552367416743,3,0.217539,0.19309450154522786,3,0.48561366666666667,0.05920276143334307,3,0.5042576666666667,0.055524073268568244,3,0.8760616666666667,0.009266585473265384,3,0.730337,0.015321056523621354,3,0.14925766666666665,0.05062882388850577,3,4.229,16.13,0.224183296,9.962,9.962,1,100.4,raw,,14,513.6333333333333,True
legacy_xception,standard,benchmark,3,0.603889,0.009033685681935133,3,0.603889,0.009033685681935133,3,0.8697223333333334,0.010232219228170041,3,0.5950776666666667,0.016059528552648573,3,0.5950776666666667,0.016059528552648573,3,0.649385,0.017894254916033837,3,0.603889,0.009033685681935133,3,0.603889,0.009033685681935133,3,0.9484583333333333,0.004258370854368241,3,0.08759833333333333,0.13930165962519375,3,0.5374690000000001,0.010410815001718147,3,0.5588850000000001,0.007253379005677285,3,0.901599,0.007602896355994839,3,0.725512,0.007424437419764563,3,0.078242,0.04908559461797321,3,20.85,79.54,4.574196,4.712,4.712,1,212.2,raw,,23,873.3666666666667,True
vit_base_patch16_224,standard,benchmark,3,0.5645140000000001,0.04806231608027231,3,0.5645140000000001,0.04806231608027231,3,0.857361,0.054332280579780554,3,0.5827743333333334,0.030387240123665938,3,0.5827743333333334,0.030387240123665938,3,0.684135,0.02792017856318262,3,0.5645140000000001,0.04806231608027231,3,0.5645140000000001,0.04806231608027231,3,0.9463750000000001,0.0029593730755009327,3,0.374569,0.10437603752298705,3,0.49472000000000005,0.049749538862184445,3,0.5097453333333334,0.04443474672295697,3,0.8908226666666667,0.02678839536689974,3,0.6870756666666668,0.013985725949457675,3,0.18867066666666665,0.020676170349785118,3,85.815,327.36,16.866660864,8.117,8.117,1,123.2,raw,,14,1354.4666666666665,True
deit3_small_patch16_224,standard,benchmark,3,0.5035416666666667,0.08419346603111985,3,0.5035416666666667,0.08419346603111985,3,0.8004860000000001,0.014368144904614506,3,0.5776866666666667,0.05343545242938749,3,0.5776866666666667,0.05343545242938749,3,0.7220909999999999,0.03064050835087432,3,0.5035416666666667,0.08419346603111985,3,0.5035416666666667,0.08419346603111985,3,0.9804026666666666,0.00896371492927645,3,0.07592233333333334,0.11980941645936405,3,0.4494993333333334,0.08168905707824847,3,0.4687153333333334,0.07827508754599595,3,0.8920053333333332,0.016086405264487586,3,0.7150880000000001,0.00877032017659557,3,0.151385,0.02381945983854378,3,21.683,82.71,4.250298624,6.18,6.18,1,161.8,raw,,21,587.4,True
inception_v3,standard,benchmark,3,0.535139,0.020895943697282492,3,0.535139,0.020895943697282492,3,0.8048609999999999,0.01820333010742812,3,0.568569,0.010038931566655866,3,0.568569,0.010038931566655866,3,0.6708056666666667,0.0133017378689152,3,0.535139,0.020895943697282492,3,0.535139,0.020895943697282492,3,0.9559306666666667,0.009251503139130063,3,0.16770266666666667,0.13957452588611338,3,0.46828933333333334,0.018780387544812083,3,0.48826866666666663,0.018213955647616308,3,0.895131,0.01079484187007853,3,0.716825,0.018640277680335098,3,0.050652,0.01963037465256331,3,21.829,83.27,2.845264,9.857,9.857,1,101.4,raw,,26,668.6333333333333,True
efficientnet_b0,standard,benchmark,3,0.487778,0.04559870297497504,3,0.487778,0.04559870297497504,3,0.8069446666666668,0.05521486481314006,3,0.5618029999999999,0.039449173159902824,3,0.5618029999999999,0.039449173159902824,3,0.7478316666666668,0.02759471924722798,3,0.487778,0.04559870297497504,3,0.487778,0.04559870297497504,3,0.9654026666666667,0.00811149932708703,3,0.36423466666666665,0.04325298437487676,3,0.4244793333333334,0.04954327347212067,3,0.4428456666666667,0.05135715947492943,3,0.8690446666666668,0.028901531003276183,3,0.6862223333333333,0.028601199805835694,3,0.09858066666666666,0.0017934966778149746,3,4.034,15.39,0.398099744,12.962,12.962,1,77.2,raw,,18,529.8,True
mobilenetv2_100,standard,benchmark,3,0.4730553333333333,0.08201054838454215,3,0.4730553333333333,0.08201054838454215,3,0.749375,0.01980487980271529,3,0.5191263333333334,0.07271555435622648,3,0.5191263333333334,0.07271555435622648,3,0.6655923333333332,0.0162032524615687,3,0.4730553333333333,0.08201054838454215,3,0.4730553333333333,0.08201054838454215,3,0.9601803333333333,0.005421835144426087,3,0.05925433333333333,0.09172048936488146,3,0.40718499999999996,0.086535306106814,3,0.4267363333333334,0.0843785986630101,3,0.8781873333333333,0.01842041417377287,3,0.6868683333333333,0.02627422452391951,3,0.08497966666666668,0.06594868691136568,3,2.251,8.59,0.312940096,4.422,4.422,1,226.1,raw,,26,535.4666666666667,True
vgg19,standard,benchmark,3,0.33180533333333334,0.05978007649989529,3,0.33180533333333334,0.05978007649989529,3,0.723611,0.050030326682923024,3,0.42936033333333334,0.04251032070372245,3,0.42936033333333334,0.04251032070372245,3,0.70725,0.030063164371037194,3,0.33180533333333334,0.05978007649989529,3,0.33180533333333334,0.05978007649989529,3,0.980903,0.011679681630935012,3,0.04818999999999999,0.07554843660195755,3,0.28127433333333335,0.0497313772314153,3,0.31464766666666666,0.03790638132733501,3,0.8003270000000001,0.011548166477843978,3,0.6277783333333333,0.007174022395653174,3,0.2147053333333333,0.05321657106891924,3,139.656,532.75,19.628056576,7.08,7.08,1,141.2,raw,,28,1887.2333333333333,True
vgg16,standard,benchmark,3,0.26368033333333335,0.07391657490937559,3,0.26368033333333335,0.07391657490937559,3,0.7063193333333334,0.04062051570737787,3,0.350641,0.08104817445815793,3,0.350641,0.08104817445815793,3,0.672256,0.010127231062832481,3,0.26368033333333335,0.07391657490937559,3,0.26368033333333335,0.07391657490937559,3,0.9799166666666667,0.007097902671446942,3,0.0034243333333333335,0.001125702151251979,3,0.21692433333333336,0.0628642450708933,3,0.24151133333333333,0.06431803546699272,3,0.8193733333333334,0.028244048511736643,3,0.6236196666666667,0.05440762470769456,3,0.20700866666666665,0.06668757160321055,3,134.347,512.49,15.466258432,18.391,18.391,1,54.4,raw,,25,6059.333333333335,True
